LexToken(CLASS,'class',2,1)
LexToken(VARIABLE,'Persona',2,7)
LexToken(LBRACE,'{',2,14)
LexToken(VARIABLE,'Persona',3,16)
LexToken(LPAREN,'(',3,23)
LexToken(LBRACE,'{',3,24)
LexToken(REQUIRED,'required',4,26)
LexToken(THIS,'this',4,35)
LexToken(DOT,'.',4,39)
LexToken(VARIABLE,'id',4,40)
LexToken(COMMA,',',4,42)
LexToken(REQUIRED,'required',5,44)
LexToken(THIS,'this',5,53)
LexToken(DOT,'.',5,57)
LexToken(VARIABLE,'nombre',5,58)
LexToken(COMMA,',',5,64)
LexToken(REQUIRED,'required',6,66)
LexToken(THIS,'this',6,75)
LexToken(DOT,'.',6,79)
LexToken(VARIABLE,'estatura',6,80)
LexToken(COMMA,',',6,88)
LexToken(RBRACE,'}',7,90)
LexToken(RPAREN,')',7,91)
LexToken(COLON,':',7,93)
LexToken(ASSERT,'assert',7,95)
LexToken(LPAREN,'(',7,101)
LexToken(VARIABLE,'id',7,102)
LexToken(MORE_THAN,'>',7,104)
LexToken(INTEGER,0,7,105)
LexToken(RPAREN,')',7,106)
LexToken(COMMA,',',7,107)
LexToken(ASSERT,'assert',8,109)
LexToken(LPAREN,'(',8,115)
LexToken(VARIABLE,'name',8,116)
LexToken(DOT,'.',8,120)
LexToken(VARIABLE,'isnotEmpty',8,121)
LexToken(RPAREN,')',8,131)
LexToken(COMMA,',',8,132)
LexToken(ASSERT,'assert',9,134)
LexToken(LPAREN,'(',9,140)
LexToken(VARIABLE,'estatura',9,141)
LexToken(MORE_THAN,'>',9,150)
LexToken(FLOAT,0.0,9,152)
LexToken(RPAREN,')',9,155)
LexToken(FINAL,'final',11,158)
LexToken(VARIABLE,'int',11,164)
LexToken(VARIABLE,'id',11,168)
LexToken(SEMICOLON,';',11,170)
LexToken(FINAL,'final',12,172)
LexToken(VARIABLE,'String',12,178)
LexToken(VARIABLE,'nombre',12,185)
LexToken(SEMICOLON,';',12,191)
LexToken(FINAL,'final',13,193)
LexToken(VARIABLE,'float',13,199)
LexToken(VARIABLE,'estatura',13,205)
LexToken(SEMICOLON,';',13,213)
LexToken(RBRACE,'}',14,215)
LexToken(VAR,'var',16,218)
LexToken(VARIABLE,'list',16,222)
LexToken(ASSING,'=',16,227)
LexToken(LBRACKET,'[',16,229)
LexToken(STRING,"'a', 'b', 'c'",16,230)
LexToken(RBRACKET,']',16,243)
LexToken(SEMICOLON,';',16,244)
LexToken(VARIABLE,'int',17,246)
LexToken(VARIABLE,'a',17,250)
LexToken(ASSING,'=',17,252)
LexToken(INTEGER,10,17,254)
LexToken(SEMICOLON,';',17,256)
LexToken(VARIABLE,'int',18,258)
LexToken(VARIABLE,'b',18,262)
LexToken(ASSING,'=',18,263)
LexToken(INTEGER,5,18,265)
LexToken(SEMICOLON,';',18,266)
LexToken(ASSERT,'assert',19,268)
LexToken(LPAREN,'(',19,274)
LexToken(VARIABLE,'a',19,275)
LexToken(RPAREN,')',19,276)
LexToken(SEMICOLON,';',19,277)
LexToken(VARIABLE,'a',20,279)
LexToken(SUM_ASSING,'+=',20,281)
LexToken(INTEGER,5,20,284)
LexToken(SEMICOLON,';',20,285)
LexToken(VARIABLE,'b',21,287)
LexToken(SUB_ASSING,'-=',21,289)
LexToken(INTEGER,2,21,292)
LexToken(SEMICOLON,';',21,293)
LexToken(VARIABLE,'printf',22,295)
LexToken(LPAREN,'(',22,301)
LexToken(VARIABLE,'a',22,302)
LexToken(RPAREN,')',22,303)
LexToken(SEMICOLON,';',22,304)
LexToken(VARIABLE,'printf',23,306)
LexToken(LPAREN,'(',23,312)
LexToken(VARIABLE,'b',23,313)
LexToken(RPAREN,')',23,314)
LexToken(SEMICOLON,';',23,315)
LexToken(VARIABLE,'float',25,318)
LexToken(VARIABLE,'c',25,324)
LexToken(ASSING,'=',25,326)
LexToken(FLOAT,15.0,25,328)
LexToken(SEMICOLON,';',25,333)
LexToken(VARIABLE,'c',26,335)
LexToken(DIV_ASSING,'/=',26,337)
LexToken(INTEGER,3,26,340)
LexToken(SEMICOLON,';',26,341)
LexToken(VARIABLE,'print',27,343)
LexToken(LPAREN,'(',27,348)
LexToken(VARIABLE,'c',27,349)
LexToken(RPAREN,')',27,350)
LexToken(SEMICOLON,';',27,351)
LexToken(VARIABLE,'float',28,353)
LexToken(VARIABLE,'d',28,359)
LexToken(ASSING,'=',28,361)
LexToken(INTEGER,2,28,363)
LexToken(SEMICOLON,';',28,364)
LexToken(VARIABLE,'d',29,366)
LexToken(MUL_ASSING,'*=',29,368)
LexToken(INTEGER,4,29,371)
