LexToken(ABSTRACT,'abstract',2,1)
LexToken(CLASS,'class',2,10)
LexToken(VARIABLE,'MyAbstractClass',2,16)
LexToken(LBRACE,'{',2,32)
LexToken(VOID,'void',3,34)
LexToken(VARIABLE,'nullTest',3,39)
LexToken(SEMICOLON,';',3,47)
LexToken(VARIABLE,'MyAbstractClass',4,49)
LexToken(LPAREN,'(',4,64)
LexToken(RPAREN,')',4,65)
LexToken(LBRACE,'{',4,67)
LexToken(VARIABLE,'print',5,69)
LexToken(LPAREN,'(',5,74)
LexToken(STRING,"'You just instanced a class!'",5,75)
LexToken(RPAREN,')',5,104)
LexToken(SEMICOLON,';',5,105)
LexToken(RBRACE,'}',6,107)
LexToken(RBRACE,'}',7,109)
LexToken(CLASS,'class',8,111)
LexToken(VARIABLE,'MyClass',8,117)
LexToken(EXTENDS,'extends',8,125)
LexToken(VARIABLE,'MyAbstractClass',8,133)
LexToken(LBRACE,'{',8,149)
LexToken(LPAREN,'(',9,151)
LexToken(VARIABLE,'double',9,152)
LexToken(COMMA,',',9,158)
LexToken(VARIABLE,'int',9,160)
LexToken(COMMA,',',9,163)
LexToken(VARIABLE,'String',9,165)
LexToken(RPAREN,')',9,171)
LexToken(VARIABLE,'record',9,173)
LexToken(ASSING,'=',9,180)
LexToken(LPAREN,'(',9,182)
LexToken(INTEGER,0,9,183)
LexToken(COMMA,',',9,184)
LexToken(INTEGER,0,9,186)
LexToken(COMMA,',',9,187)
LexToken(STRING,"' '",9,189)
LexToken(RPAREN,')',9,192)
LexToken(SEMICOLON,';',9,193)
LexToken(VARIABLE,'MyClass',10,195)
LexToken(LPAREN,'(',10,202)
LexToken(VARIABLE,'double',10,203)
LexToken(VARIABLE,'d',10,210)
LexToken(COMMA,',',10,211)
LexToken(VARIABLE,'int',10,213)
LexToken(VARIABLE,'i',10,217)
LexToken(COMMA,',',10,218)
LexToken(VARIABLE,'String',10,220)
LexToken(VARIABLE,'s',10,227)
LexToken(RPAREN,')',10,228)
LexToken(LBRACE,'{',10,230)
LexToken(THIS,'this',11,232)
LexToken(DOT,'.',11,236)
LexToken(VARIABLE,'nullTest',11,237)
LexToken(ASSING,'=',11,246)
LexToken(NULL,'null',11,248)
LexToken(SEMICOLON,';',11,252)
